	42392	2019-03-25 08:20:08	1	255	15	0
    56328	2019-03-25 08:21:21	1	255	15	0
    56345	2019-03-25 09:22:42	1	255	15	0
    56201	2019-03-25 09:23:58	1	255	15	0
    56201	2019-03-25 09:25:10	1	255	15	0
    47475	2019-03-25 15:26:32	1	255	15	0
    47483	2019-03-25 15:27:49	1	255	15	0
    47472	2019-03-25 15:29:08	1	255	15	0
    56328	2019-03-25 15:30:36	1	255	15	0
    56328	2019-03-25 15:32:22	1	255	15	0
    56345	2019-03-25 15:33:39	1	255	15	0
    56201	2019-03-25 15:35:08	1	255	15	0
    50672	2019-03-25 15:36:44	1	255	15	0
